regra_id,rede_layout,layout_id,centro,centro_referencia,centro_alternativo,sku,ean,descricao,fator_conversao,tipo_regra,usa_mapa_produtos,origem_regra,prioridade,ativo,sku_destino,arredondamento,observacao,data_atualizacao
1,REDE ITALO PDF,8,,,,,,,,BASE_ITALO_PRIORITARIA,NAO,Arquivos Base/BASE PRODUTOS ITALO -atualizada.xlsx,1,1,,,Parser Ítalo consulta base prioritária: Cod Barras -> Código Femsa e Conversão. Item sem fator permanece no Excel como ALERTA - NÃO CONVERTIDO.,2026-05-19
2,REDE ITALO PDF,8,BAAI,,,,,,,MAPA_PRODUTOS_FALLBACK,SIM,Mapa de Produtos por centro,2,1,,,Fallback por centro quando a base prioritária não resolver; manter BAAI ou ajustar no CSV se necessário.,2026-05-19
3,REDE ESTRELA PDF,34,,,,,,,,SEM_CONVERSAO,NAO,PDF_ESTRELA_TOTVS_QTDE_CAIXARIA,100,1,,,Layout Estrela traz SKU em Cod Forn e quantidade na coluna Qtde já em caixaria.,2026-05-19
4,TESTE REDE ALFA PDF Conversao,35,BAAI,,,,,,,MAPA_PRODUTOS,SIM,Mapa de Produtos por centro,10,1,,,TESTE: converter unidade para caixaria usando EAN/SKU no mapa. Ajustar centro/fator conforme amostras.,2026-05-19
5,TESTE PONTO CERTO PDF Conversao,36,BAAI,,,,,,,MAPA_PRODUTOS,SIM,Mapa de Produtos por centro,20,1,,,TESTE Ponto Certo: fallback por EAN/SKU no mapa. Exceções manuais de EAN ficam com prioridade menor/mais específica.,2026-05-19
6,TESTE SUPER UBIALLI PDF Conversao,37,BAAI,,,,,,,MAPA_PRODUTOS,SIM,Mapa de Produtos por centro,10,1,,,TESTE: converter por EAN/SKU; revisar amostras antes de produção.,2026-05-19
7,REDE CELEIRO PDF Conversao,38,,BFDZ,Chapecó,,,,,MAPA_PRODUTOS,SIM,Mapa de Produtos por centro de referência Chapecó/BFDZ,5,1,,,"Celeiro: usar Chapecó/BFDZ como centro de referência para conversão; registrar Centro de Referência no Excel e log. Sem fator, manter item como ALERTA - NÃO CONVERTIDO.",2026-05-20
8,EXEMPLO REGRA ESPECIFICA,,BAAI,,,119605,7898770420059,MONSTER THE DOCTOR,6,SKU_EAN_FATOR_FIXO,NAO,EXEMPLO_INATIVO,1,0,119605,VALIDAR_SE_FRACIONADO,"Exemplo inativo: para cadastrar exceção, preencher rede_layout/layout_id, fator, ativo=1.",2026-05-19
9,REDE COASUL PDF Conversao,39,BAAI,,,,,,,MAPA_PRODUTOS,SIM,Mapa de Produtos por EAN/COD. BARRAS e centro,6,1,,VALIDAR_SE_FRACIONADO,"Coasul trafega em unidade na coluna QTDE; converter por EAN/COD. BARRAS usando apresentação do mapa. Sem fator, manter item no Excel como ALERTA - NÃO CONVERTIDO.",2026-05-19
10,TESTE PONTO CERTO PDF Conversao,36,BAAI,,,,7898770420059,MONSTER THE DOCTOR LT 473ML,6,EAN_FATOR_FIXO,NAO,REGRA_MANUAL_PONTO_CERTO_EAN_7898770420059,1,1,119605,VALIDAR_SE_FRACIONADO,"Exceção Ponto Certo cadastrada por solicitação: EAN 7898770420059 -> SKU 119605, divide por 6.",2026-05-20
11,TESTE PONTO CERTO PDF Conversao,36,BAAI,,,,7898770420042,MONSTER THE DOCTOR LT 473ML,6,EAN_FATOR_FIXO,NAO,REGRA_MANUAL_PONTO_CERTO_EAN_7898770420042,1,1,119605,VALIDAR_SE_FRACIONADO,"Exceção Ponto Certo cadastrada por solicitação: EAN alternativo 7898770420042 -> SKU 119605, divide por 6.",2026-05-20
12,ALABARCE PDF,3,,,,,,,,SEM_CONVERSAO,NAO,ALABARCE_SEM_CONVERSAO_CSV,100,1,,,"Alabarce/Bluesoft já trafega quantidade em caixaria por loja; não aplicar mapa de produtos nem divisão por fator.",2026-05-21
